timestamp,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-01-31,238.3,241.82,228.24,231.77,2942165.567,1738367999999,694071690.64743,2082835,1427469.918,336959724.89163,0
2025-02-01,231.77,236.46,212.74,213.03,2849748.65,1738454399999,640184468.98493,1972665,1362663.122,306511624.29809,0
2025-02-02,213.03,218.9,192.31,203.51,7255500.333,1738540799999,1496343825.74038,5307616,3346730.339,691549926.84685,0
2025-02-03,203.52,218.7,175.89,216.28,12836970.265,1738627199999,2538322103.03744,10116876,6239167.567,1235396563.85083,0
2025-02-04,216.27,219.97,201.87,206.64,6024194.387,1738713599999,1265056545.46502,4811821,2948755.443,619597261.13513,0
2025-02-05,206.64,209.39,195.14,196.12,3154802.037,1738799999999,639424685.67492,2851688,1540121.009,312338518.38023,0
2025-02-06,196.12,203.98,187.39,189.54,3444767.147,1738886399999,674411227.22245,2708547,1663274.352,325994874.37687,0
2025-02-07,189.53,203.42,188.12,191.99,3925596.773,1738972799999,767993723.8255901,3039573,1974029.335,386334067.55597,0
2025-02-08,192.0,200.88,189.81,199.32,1967596.752,1739059199999,382617624.43681,1656928,969158.157,188599822.77232,0
2025-02-09,199.32,207.37,193.53,200.47,2879138.46,1739145599999,578324813.09662,2101908,1427659.368,286756354.53302,0
2025-02-10,200.47,209.05,195.85,200.47,4040840.548,1739231999999,819921205.0137299,2637756,2089482.612,423911075.60582,0
2025-02-11,200.47,206.18,195.12,197.96,3930238.335,1739318399999,792182733.69756,2289535,1920198.549,387186434.68651,0
2025-02-12,197.95,198.56,188.48,196.78,3898533.321,1739404799999,756076037.68729,2807925,1863747.044,361451831.86861,0
2025-02-13,196.78,198.47,188.78,194.25,2427771.876,1739491199999,468975077.17204,1950076,1139384.774,220182106.79513,0
2025-02-14,194.24,205.34,194.11,199.39,3727686.063,1739577599999,744993253.44044,2047732,1917939.317,383311207.8218,0
2025-02-15,199.4,200.27,192.61,194.48,1633300.399,1739663999999,319980278.83566,1231341,778171.197,152425048.14114,0
2025-02-16,194.47,196.24,186.3,188.27,2009380.862,1739750399999,383704847.67239,1271986,910716.019,174002501.80625,0
2025-02-17,188.26,189.72,174.63,177.53,4287573.73,1739836799999,779271190.58224,2336009,1937640.277,352224165.23204,0
2025-02-18,177.53,179.09,160.88,169.32,6319186.166,1739923199999,1061518548.68995,3750135,3089541.505,518910445.96659,0
2025-02-19,169.32,174.3,163.75,168.93,3478319.262,1740009599999,590112452.81958,2185100,1718948.19,291753364.79675,0
2025-02-20,168.94,176.65,167.66,176.0,2938753.335,1740095999999,508528834.82322,1920797,1457878.223,252304279.27536,0
2025-02-21,176.0,180.52,167.15,168.94,4103682.857,1740182399999,715436161.65543,2546452,1970675.627,343739427.82907,0
2025-02-22,168.94,174.68,168.07,172.07,1886813.457,1740268799999,324983318.38902,1171019,918330.967,158146595.71041,0
2025-02-23,172.07,173.07,166.42,167.94,1488310.759,1740355199999,252136318.55605,987546,698017.912,118266636.56328,0
2025-02-24,167.94,169.69,138.0,141.81,7997237.915,1740441599999,1226692646.03078,4109967,3715424.985,570486474.16387,0
2025-02-25,141.81,147.09,131.91,144.33,11747010.145,1740527999999,1635111010.70032,6188432,5733721.725,798500299.4058899,0
2025-02-26,144.33,145.19,130.65,135.32,5368401.059,1740614399999,736842199.24,3159238,2594767.754,356529432.82198,0
